GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AI Work Management Platform,com.aiworkflow.workmanagement.application.command,CreateTaskCommand,9,48,0,0,2,14,1,7,1,7
AI Work Management Platform,com.aiworkflow.workmanagement.application.command,CreateCommentCommand,0,70,0,0,0,18,0,9,0,9
AI Work Management Platform,com.aiworkflow.workmanagement.application.command,UpdateStoryCommand,16,42,0,0,4,14,3,6,3,6
AI Work Management Platform,com.aiworkflow.workmanagement.application.command,TransitionStoryCommand,0,43,0,0,0,12,0,6,0,6
AI Work Management Platform,com.aiworkflow.workmanagement.application.command,CreateStoryCommand,0,95,0,2,0,24,0,13,0,12
AI Work Management Platform,com.aiworkflow.workmanagement.orchestration.config,OrchestrationConfig,0,105,2,10,0,28,2,15,0,11
AI Work Management Platform,com.aiworkflow.workmanagement.orchestration.config,OrchestrationLlmProperties,0,49,0,0,0,17,0,9,0,9
AI Work Management Platform,com.aiworkflow.workmanagement.orchestration.config,LangChain4jConfig,0,7,0,0,0,2,0,2,0,2
AI Work Management Platform,com.aiworkflow.workmanagement.orchestration.config,OrchestrationLlmProperties.Provider,4,37,0,0,2,15,1,10,1,10
AI Work Management Platform,com.aiworkflow.workmanagement.orchestration.config,OrchestrationConfig.ContextConfig,0,66,0,6,0,20,0,11,0,8
AI Work Management Platform,com.aiworkflow.workmanagement.orchestration.config,OrchestrationConfig.TemplateConfig,0,36,0,2,0,12,0,7,0,6
AI Work Management Platform,com.aiworkflow.workmanagement.orchestration.config,OrchestrationLlmProperties.RoleMapping,10,25,2,0,2,9,2,6,1,6
AI Work Management Platform,com.aiworkflow.workmanagement.infrastructure.persistence,FileBasedCommentRepository.RepositoryException,5,4,0,0,2,2,1,1,1,1
AI Work Management Platform,com.aiworkflow.workmanagement.infrastructure.persistence,FileBasedTaskRepository.RepositoryException,5,4,0,0,2,2,1,1,1,1
AI Work Management Platform,com.aiworkflow.workmanagement.infrastructure.persistence,StoryDTO,0,194,2,12,0,58,2,21,0,16
AI Work Management Platform,com.aiworkflow.workmanagement.infrastructure.persistence,FileBasedActivityLogger,18,128,0,4,4,29,0,9,0,7
AI Work Management Platform,com.aiworkflow.workmanagement.infrastructure.persistence,FileBasedCommentRepository.CommentMarkdownFormatter,5,201,3,14,1,42,3,9,0,2
AI Work Management Platform,com.aiworkflow.workmanagement.infrastructure.persistence,FileBasedActivityLogger.ActivityLogEntry,0,39,0,0,0,14,0,7,0,7
AI Work Management Platform,com.aiworkflow.workmanagement.infrastructure.persistence,FileBasedStoryRepository.RepositoryException,5,4,0,0,2,2,1,1,1,1
AI Work Management Platform,com.aiworkflow.workmanagement.infrastructure.persistence,FileBasedCommentRepository,57,258,4,18,12,52,4,19,0,12
AI Work Management Platform,com.aiworkflow.workmanagement.infrastructure.persistence,FileBasedStoryRepository,97,461,6,20,22,98,6,32,0,25
AI Work Management Platform,com.aiworkflow.workmanagement.infrastructure.persistence,FileBasedTaskRepository,53,297,3,21,13,56,3,22,0,13
AI Work Management Platform,com.aiworkflow.workmanagement.infrastructure.persistence,FileBasedActivityLogger.ActivityLoggerException,5,0,0,0,2,0,1,0,1,0
AI Work Management Platform,com.aiworkflow.workmanagement.infrastructure.persistence,TaskDTO,0,196,5,21,0,61,5,23,0,15
AI Work Management Platform,com.aiworkflow.workmanagement,WorkManagementApplication,5,3,0,0,2,1,1,1,1,1
AI Work Management Platform,com.aiworkflow.workmanagement.orchestration.node.template,TaskPlanningTemplateNode,2,222,1,1,1,56,2,4,1,4
AI Work Management Platform,com.aiworkflow.workmanagement.orchestration.node.template,DesignTemplateNode,2,302,1,1,1,76,2,4,1,4
AI Work Management Platform,com.aiworkflow.workmanagement.orchestration.node.template,AbstractTemplateNodeAction,12,73,2,8,4,23,2,8,0,5
AI Work Management Platform,com.aiworkflow.workmanagement.orchestration.node.template,ResearchTemplateNode,2,133,0,4,1,33,1,6,1,4
AI Work Management Platform,com.aiworkflow.workmanagement.orchestration.node.template,TestStrategyTemplateNode,2,354,1,1,1,89,2,4,1,4
AI Work Management Platform,com.aiworkflow.workmanagement.domain.service,InvalidStateTransitionException,64,41,6,0,15,10,10,2,7,2
AI Work Management Platform,com.aiworkflow.workmanagement.domain.service,StateTransitionValidator,120,130,18,30,29,30,16,19,6,5
AI Work Management Platform,com.aiworkflow.workmanagement.orchestration.graph,StateGraphBuilder,31,171,5,3,5,32,4,5,0,5
AI Work Management Platform,com.aiworkflow.workmanagement.domain.valueobject,RoleName,46,23,9,3,8,7,9,3,3,3
AI Work Management Platform,com.aiworkflow.workmanagement.domain.valueobject,StoryId,2,84,1,15,1,17,1,14,0,7
AI Work Management Platform,com.aiworkflow.workmanagement.domain.valueobject,CommentId,46,44,5,7,7,11,9,5,4,4
AI Work Management Platform,com.aiworkflow.workmanagement.domain.valueobject,TaskId,44,31,8,4,7,9,8,5,2,5
AI Work Management Platform,com.aiworkflow.workmanagement.domain.valueobject,ArtifactName,74,33,9,3,12,8,12,4,6,4
AI Work Management Platform,com.aiworkflow.workmanagement.domain.model,WorkspaceConfig,232,81,29,3,60,21,43,2,27,2
AI Work Management Platform,com.aiworkflow.workmanagement.domain.model,TaskState,40,54,18,10,5,9,13,6,2,2
AI Work Management Platform,com.aiworkflow.workmanagement.domain.model,Task,90,181,18,18,16,56,18,27,3,24
AI Work Management Platform,com.aiworkflow.workmanagement.domain.model,Role,33,49,8,6,4,8,9,6,4,4
AI Work Management Platform,com.aiworkflow.workmanagement.domain.model,Artifact,250,51,34,6,53,17,44,3,24,3
AI Work Management Platform,com.aiworkflow.workmanagement.domain.model,Story,94,427,16,44,23,117,22,56,6,42
AI Work Management Platform,com.aiworkflow.workmanagement.domain.model,FileFormat,59,155,27,3,6,23,19,4,5,3
AI Work Management Platform,com.aiworkflow.workmanagement.domain.model,ArtifactType,31,70,14,2,8,13,12,3,2,2
AI Work Management Platform,com.aiworkflow.workmanagement.domain.model,PrioritizationState,18,35,4,4,5,6,3,5,1,3
AI Work Management Platform,com.aiworkflow.workmanagement.domain.model,Comment,125,130,22,16,27,40,24,18,6,17
AI Work Management Platform,com.aiworkflow.workmanagement.domain.model,CommentType,0,72,0,10,0,11,0,9,0,4
